"","player","team","cap_number","cash_spent","year","qb","salary_cap"
"1","Eli Manning","Giants",20850000,13500000,2013,1,1.23e+08
"2","Matt Stafford","Lions",17820000,31500000,2013,1,1.23e+08
"3","Peyton Manning","Broncos",17500000,2.5e+07,2013,1,1.23e+08
"4","Drew Brees","Saints",17400000,1e+07,2013,1,1.23e+08
"5","Tom Brady","Patriots",13800000,3.1e+07,2013,1,1.23e+08
"6","Philip Rivers","Chargers",13776666,1.2e+07,2013,1,1.23e+08
"7","Ben Roethlisberger","Steelers",13595000,11600000,2013,1,1.23e+08
"8","Mark Sanchez","Jets",12853128,8750000,2013,1,1.23e+08
"9","Sam Bradford","Rams",12595000,9e+06,2013,1,1.23e+08
"10","Michael Vick","Eagles",12200000,7500000,2013,1,1.23e+08
"11","Aaron Rodgers","Packers",1.2e+07,4e+07,2013,1,1.23e+08
"12","Tony Romo","Cowboys",11818835,26500000,2013,1,1.23e+08
"13","Matt Schaub","Texans",10750000,7250000,2013,1,1.23e+08
"14","Jay Cutler","Bears",10370000,8970000,2013,1,1.23e+08
"15","Matt Ryan","Falcons",9600000,3e+07,2013,1,1.23e+08
"16","Alex Smith","Chiefs",8500000,9e+06,2013,1,1.23e+08
"17","Joe Flacco","Ravens",6800000,3e+07,2013,1,1.23e+08
"18","Cam Newton","Panthers",6006954,2377318,2013,1,1.23e+08
"19","Andrew Luck","Colts",5024545,1394909,2013,1,1.23e+08
"20","Robert Griffin III","Washington",4799795,1349959,2013,1,1.23e+08
"21","Chad Henne","Jaguars",4650000,3650000,2013,1,1.23e+08
"22","Carson Palmer","Cardinals",4e+06,8e+06,2013,1,1.23e+08
"23","Matt Cassel","Vikings",3700000,3700000,2013,1,1.23e+08
"24","Matt Hasselbeck","Colts",3500000,5e+06,2013,1,1.23e+08
"25","Jake Locker","Titans",3432546,1519182,2013,1,1.23e+08
"26","Blaine Gabbert","Jaguars",3273176,1466058,2013,1,1.23e+08
"27","Shaun Hill","Lions",3250000,2750000,2013,1,1.23e+08
"28","Ryan Tannehill","Dolphins",2879205,965841,2013,1,1.23e+08
"29","Christian Ponder","Vikings",2770554,1298518,2013,1,1.23e+08
"30","Matt Moore","Dolphins",2500000,4e+06,2013,1,1.23e+08
"31","Ryan Fitzpatrick","Titans",2375000,3250000,2013,1,1.23e+08
"32","Kevin Kolb","Bills",2250000,2750000,2013,1,1.23e+08
"33","Josh Freeman","Vikings",2e+06,2e+06,2013,1,1.23e+08
"34","Kyle Orton","Cowboys",1967500,1350000,2013,1,1.23e+08
"35","Brandon Weeden","Browns",1837181,757436,2013,1,1.23e+08
"36","Chase Daniel","Chiefs",1800000,3800000,2013,1,1.23e+08
"37","Charlie Whitehurst","Chargers",1800000,1300000,2013,1,1.23e+08
"38","Drew Stanton","Cardinals",1666666,3e+06,2013,1,1.23e+08
"39","E.J. Manuel","Bills",1615509,5247036,2013,1,1.23e+08
"40","Colt McCoy","49ers",1500000,1500000,2013,1,1.23e+08
"41","Jason Campbell","Browns",1500000,1500000,2013,1,1.23e+08
"42","Andy Dalton","Bengals",1422054,849018,2013,1,1.23e+08
"43","Colin Kaepernick","49ers",1397535,840844,2013,1,1.23e+08
"44","Bruce Gradkowski","Steelers",1283333,1850000,2013,1,1.23e+08
"45","Jimmy Clausen","Panthers",952500,630000,2013,1,1.23e+08
"46","Josh Johnson","Bengals",921250,1021250,2013,1,1.23e+08
"47","Geno Smith","Jets",912655,2435620,2013,1,1.23e+08
"48","Tarvaris Jackson","Seahawks",840000,840000,2013,1,1.23e+08
"49","Ryan Mallett","Patriots",803953,642984,2013,1,1.23e+08
"50","Brock Osweiler","Broncos",799245,549849,2013,1,1.23e+08
"51","Terrelle Pryor","Raiders",741517,595000,2013,1,1.23e+08
"52","Brian Hoyer","Browns",715000,715000,2013,1,1.23e+08
"53","Russell Wilson","Seahawks",681085,526217,2013,1,1.23e+08
"54","Nick Foles","Eagles",655880,520000,2013,1,1.23e+08
"55","Curtis Painter","Giants",630000,630000,2013,1,1.23e+08
"56","Derek Anderson","Panthers",620000,905000,2013,1,1.23e+08
"57","Dan Orlovsky","Buccaneers",620000,905000,2013,1,1.23e+08
"58","T.J. Yates","Texans",601250,555000,2013,1,1.23e+08
"59","Kirk Cousins","Washington",598172,480000,2013,1,1.23e+08
"60","David Garrard","Jets",588235,588235,2013,1,1.23e+08
"61","Kellen Clemens","Rams",585000,870000,2013,1,1.23e+08
"62","Tyrod Taylor","Ravens",581327,555000,2013,1,1.23e+08
"63","Josh McCown","Bears",580000,865000,2013,1,1.23e+08
"64","Rex Grossman","Washington",575000,970000,2013,1,1.23e+08
"65","Mike Glennon","Buccaneers",564375,1042500,2013,1,1.23e+08
"66","Luke McCown","Saints",555000,840000,2013,1,1.23e+08
"67","Luke McCown","Falcons",540000,825000,2013,1,1.23e+08
"68","Matt Barkley","Eagles",529257,902028,2013,1,1.23e+08
"69","Ryan Nassib","Giants",518400,858600,2013,1,1.23e+08
"70","Landry Jones","Steelers",514805,844220,2013,1,1.23e+08
"71","Ryan Lindley","Cardinals",506327,480000,2013,1,1.23e+08
"72","Kellen Moore","Lions",486666,480000,2013,1,1.23e+08
"73","Rusty Smith","Titans",481765,309706,2013,1,1.23e+08
"74","Dominique Davis","Falcons",480666,480000,2013,1,1.23e+08
"75","Pat Devlin","Dolphins",480000,480000,2013,1,1.23e+08
