Player;Team;Cap Number;Cash Spent
Haloti Ngata;Ravens;$11,500,000;$4,000,000
Gerald McCoy;Buccaneers;$10,916,250;$8,321,250
Vince Wilfork;Patriots;$10,600,000;$6,700,000
Ndamukong Suh;Lions;$10,492,500;$12,275,000
Antonio Smith;Texans;$9,147,059;$5,647,059
Calais Campbell;Cardinals;$8,750,000;$13,250,000
Randy Starks;Dolphins;$8,450,000;$8,450,000
Henry Melton;Bears;$8,450,000;$8,450,000
Desmond Bryant;Browns;$7,882,353;$11,882,353
Darnell Dockett;Cardinals;$7,700,000;$4,700,000
Ahtyba Rubin;Browns;$7,575,000;$6,200,000
Paul Soliai;Dolphins;$7,375,000;$5,750,000
Tyson Jackson;Chiefs;$7,200,000;$4,700,000
Geno Atkins;Bengals;$7,118,114;$19,000,000
Ryan Pickett;Packers;$6,700,000;$6,200,000
B.J. Raji;Packers;$6,595,000;$4,715,000
Kendall Langford;Rams;$6,000,000;$5,000,000
Kyle Williams;Bills;$5,805,000;$5,005,000
Marcell Dareus;Bills;$5,565,628;$2,230,210
Brandon Mebane;Seahawks;$5,200,000;$5,000,000
Jonathan Babineaux;Falcons;$5,200,000;$4,700,000
Domata Peko;Bengals;$5,100,000;$4,100,000
Kevin Williams;Vikings;$5,000,000;$5,000,000
Brett Keisel;Steelers;$4,900,000;$2,825,000
Ricky Jean-Francois;Colts;$4,625,000;$6,500,000
Cory Redding;Colts;$4,391,666;$3,500,000
Alan Branch;Bills;$3,775,000;$6,075,000
Justin Smith;49ers;$3,726,666;$8,100,000
Barry Cofield;Washington;$3,667,500;$4,500,000
Stephen Bowen;Washington;$3,460,000;$4,000,000
J.J. Watt;Texans;$3,064,772;$1,396,590
Ziggy Hood;Steelers;$2,990,860;$1,992,325
Adam Carriker;Washington;$2,810,416;$2,050,000
Letroy Guion;Vikings;$2,800,000;$2,500,000
Nick Fairley;Lions;$2,697,000;$1,274,000
Sammie Lee Hill;Titans;$2,666,666;$4,000,000
Jason Hatcher;Cowboys;$2,600,000;$2,000,000
Dontari Poe;Chiefs;$2,572,728;$904,546
Brodrick Bunkley;Saints;$2,562,500;$3,800,000
Ray McDonald;49ers;$2,561,985;$3,250,000
Kevin Vickerson;Broncos;$2,500,000;$2,692,400
Fletcher Cox;Eagles;$2,327,545;$855,509
Mike DeVito;Chiefs;$2,300,000;$5,100,000
Corey Liuget;Chargers;$2,267,930;$1,130,976
Glenn Dorsey;49ers;$2,207,500;$3,350,000
Phil Taylor;Browns;$2,207,250;$1,110,750
Michael Brockers;Rams;$2,164,091;$822,818
Dan Williams;Cardinals;$2,105,000;$960,000
Arthur Jones;Ravens;$2,023,000;$2,023,000
Peria Jerry;Falcons;$2,010,000;$905,000
Tommy Kelly;Patriots;$2,000,000;$2,500,000
Vance Walker;Raiders;$2,000,000;$2,225,000
Muhammad Wilkerson;Jets;$1,875,000;$1,000,000
Cameron Heyward;Steelers;$1,828,644;$984,548
Sheldon Richardson;Jets;$1,828,000;$6,097,000
Cullen Jenkins;Giants;$1,816,666;$3,150,000
Roy Miller;Jaguars;$1,750,000;$2,000,000
Fred Evans;Vikings;$1,750,000;$1,500,000
Terrance Knighton;Broncos;$1,750,000;$2,000,000
Pat Sims;Raiders;$1,750,000;$2,000,000
Star Lotulelei;Panthers;$1,746,273;$5,770,092
Sen'Derrick Marks;Jaguars;$1,700,000;$2,500,000
Dwan Edwards;Panthers;$1,600,000;$2,150,000
Corey Peters;Falcons;$1,514,750;$1,323,000
Chris Canty;Ravens;$1,506,666;$2,840,000
Sharrif Floyd;Vikings;$1,468,400;$4,658,600
Steve McLendon;Steelers;$1,458,333;$2,575,000
Sylvester Williams;Broncos;$1,378,500;$4,299,000
Cam Thomas;Chargers;$1,370,825;$1,323,000
Chris Baker;Washington;$1,323,000;$1,323,000
Derek Landri;Buccaneers;$1,250,000;$1,250,000
Fili Moala;Colts;$1,250,000;$1,250,000
Jarvis Jenkins;Washington;$1,137,358;$642,780
Da'Quan Bowers;Buccaneers;$1,051,537;$725,512
C.J. Mosley;Lions;$1,025,000;$1,200,000
Linval Joseph;Giants;$1,012,000;$630,000
Stephen Paea;Bears;$1,005,246;$710,082
Aubrayo Franklin;Colts;$1,005,000;$1,005,000
Gary Gibson;Buccaneers;$1,000,000;$1,000,000
Ropati Pitoitua;Titans;$1,000,000;$1,100,000
Kedric Golston;Washington;$960,000;$1,200,000
Kendall Reyes;Chargers;$938,181;$577,636
Terrence Cody;Ravens;$910,000;$630,000
Jerel Worthy;Packers;$897,319;$569,464
Ian Williams;49ers;$888,333;$1,555,000
Devon Still;Bengals;$856,455;$561,291
Antonio Johnson;Titans;$850,000;$800,000
Alex Carrington;Bills;$846,000;$630,000
Kawann Short;Panthers;$841,879;$2,152,516
Earl Mitchell;Texans;$827,125;$630,000
Tim Jamison;Texans;$825,000;$715,000
Tom Johnson;Saints;$775,000;$750,000
Vinny Curry;Eagles;$768,598;$543,720
Jurrell Casey;Titans;$734,359;$580,000
Johnathan Hankins;Giants;$732,855;$1,716,420
Jermelle Cudjo;Rams;$730,000;$905,000
Allen Bailey;Chiefs;$718,986;$580,000
Kenrick Ellis;Jets;$707,500;$595,000
Tyrone Crawford;Cowboys;$643,813;$500,000
C.J. Wilson;Packers;$642,590;$630,000
Mike Martin;Titans;$641,890;$500,000
Al Woods;Steelers;$630,000;$630,000
Sean Lissemore;Chargers;$630,000;$630,000
Nick Hayden;Cowboys;$630,000;$630,000
Brandon Deaderick;Jaguars;$630,000;$630,000
Clifton Geathers;Eagles;$630,000;$630,000
Ricardo Mathews;Colts;$630,000;$630,000
Nate Collins;Bears;$630,000;$630,000
Akiem Hicks;Saints;$628,225;$492,500
