;Player;Team;Cap Number;Cash Spent
1;David Harris;Jets;$13,000,000;$11,000,000
2;James Laurinaitis;Rams;$12,400,000;$12,000,000
3;Chad Greenway;Vikings;$8,700,000;$7,000,000
4;Paul Posluszny;Jaguars;$8,500,000;$6,500,000
5;Lance Briggs;Bears;$7,416,670;$5,750,000
6;Thomas Davis;Panthers;$6,816,666;$6,500,000
7;DeMeco Ryans;Eagles;$6,700,000;$6,700,000
8;D'Qwell Jackson;Browns;$6,400,000;$5,000,000
9;London Fletcher;Washington;$6,200,000;$5,500,000
10;Jerod Mayo;Patriots;$5,900,000;$1,687,500
11;Lawrence Timmons;Steelers;$5,816,250;$7,875,000
12;A.J. Hawk;Packers;$5,200,000;$3,600,000
13;Von Miller;Broncos;$4,921,213;$1,477,963
14;Stephen Tulloch;Lions;$4,800,000;$3,500,000
15;Brian Cushing;Texans;$4,443,000;$10,143,000
16;Mathias Kiwanuka;Giants;$4,125,000;$3,000,000
17;Jonathan Vilma;Saints;$3,832,500;$1,200,000
18;Derrick Johnson;Chiefs;$3,500,000;$3,500,000
19;Stephen Nicholas;Falcons;$3,500,000;$2,500,000
20;Wesley Woodyard;Broncos;$3,250,000;$3,000,000
21;NaVorro Bowman;49ers;$3,105,562;$4,630,000
22;Curtis Lofton;Saints;$3,100,000;$6,100,000
23;Sean Lee;Cowboys;$2,930,000;$10,630,000
24;Luke Kuechly;Panthers;$2,858,773;$961,755
25;Daryl Washington;Cardinals;$2,854,044;$1,835,294
26;Russell Allen;Jaguars;$2,816,666;$1,900,000
27;Jameel McClain;Ravens;$2,700,000;$3,000,000
28;Rey Maualuga;Bengals;$2,625,000;$3,703,125
29;David Hawthorne;Saints;$2,510,000;$4,000,000
30;Brad Jones;Packers;$2,500,000;$4,500,000
31;Dannell Ellerbe;Dolphins;$2,425,000;$8,025,000
32;Philip Wheeler;Dolphins;$2,400,000;$8,000,000
33;Manny Lawson;Bills;$2,400,000;$4,650,000
34;Patrick Willis;49ers;$2,386,750;$3,652,000
35;James Harrison;Bengals;$2,381,250;$2,981,250
36;Sean Weatherspoon;Falcons;$2,348,750;$1,047,500
37;Karlos Dansby;Cardinals;$2,250,000;$3,000,000
38;DeAndre Levy;Lions;$2,000,000;$4,000,000
39;Bruce Irvin;Seahawks;$1,931,546;$622,964
40;Kevin Burnett;Raiders;$1,857,500;$2,500,000
41;Larry Foote;Steelers;$1,833,333;$2,500,000
42;Koa Misi;Dolphins;$1,764,905;$3,609,405
43;Dont'a Hightower;Patriots;$1,755,455;$741,091
44;Erin Henderson;Vikings;$1,750,000;$2,100,000
45;Heath Farwell;Seahawks;$1,666,666;$1,500,000
46;Nick Roach;Raiders;$1,636,250;$4,025,000
47;Paris Lenon;Broncos;$1,540,000;$940,000
48;Donald Butler;Chargers;$1,525,125;$1,323,000
49;Perry Riley;Washington;$1,455,500;$1,323,000
50;Kaluka Maiava;Raiders;$1,408,333;$2,765,000
51;Jonathan Casillas;Buccaneers;$1,400,000;$1,400,000
52;Arthur Moats;Bills;$1,351,000;$1,323,000
53;Dan Skuta;49ers;$1,350,000;$1,500,000
54;Akeem Ayers;Titans;$1,343,595;$822,864
55;Ashlee Palmer;Lions;$1,333,333;$1,000,000
56;D.J. Williams;Bears;$1,328,125;$1,750,000
57;Bruce Carter;Cowboys;$1,323,981;$816,327
58;Jasper Brinkley;Cardinals;$1,300,000;$1,500,000
59;Alec Ogletree;Rams;$1,278,187;$3,897,748
60;Adam Hayward;Buccaneers;$1,257,000;$1,257,000
61;James Anderson;Bears;$1,250,000;$1,250,000
62;Moise Fokou;Titans;$1,250,000;$1,400,000
63;Patrick Angerer;Colts;$1,222,500;$970,000
64;Stewart Bradley;Broncos;$1,200,000;$1,200,000
65;Daryl Smith;Ravens;$1,125,000;$2,125,000
66;Joe Mays;Texans;$1,087,500;$1,087,500
67;Patrick Bailey;Titans;$1,070,000;$970,000
68;Mychal Kendricks;Eagles;$1,010,101;$592,020
69;Chase Blackburn;Panthers;$1,000,000;$1,100,000
70;Bobby Wagner;Seahawks;$979,045;$585,809
71;Justin Durant;Cowboys;$950,000;$1,150,000
72;Manti Te'o;Chargers;$940,442;$2,546,768
73;Blake Costanzo;Bears;$940,000;$740,000
74;Geno Hayes;Jaguars;$937,500;$1,000,000
75;Jason Trusnik;Dolphins;$931,666;$765,000
76;O'Brien Schofield;Seahawks;$900,000;$1,000,000
77;Jonas Mouton;Chargers;$890,010;$671,670
78;Zach Brown;Titans;$876,886;$565,377
79;Brandon Spikes;Patriots;$870,000;$630,000
80;Desmond Bishop;Vikings;$850,000;$850,000
81;Keith Rivers;Giants;$800,000;$800,000
82;Kevin Minter;Cardinals;$798,236;$1,977,944
83;Lavonte David;Buccaneers;$789,030;$547,806
84;Kiko Alonso;Bills;$781,891;$1,912,564
85;Jon Beason;Giants;$764,706;$764,706
86;Darryl Sharpton;Texans;$763,735;$630,000
87;Akeem Dent;Falcons;$760,725;$625,000
88;Mason Foster;Buccaneers;$759,374;$628,124
89;Bryan Kehl;Washington;$740,000;$900,000
90;Jason Phillips;Eagles;$730,000;$730,000
